,Predicted Data,Original Label
236,"[[0.2942866384983063, 0.813625693321228, 0.4191513657569885], [0.2472311407327652, 0.7220337986946106, 0.4122491478919983]]","[[0.6126760840415955, 0.75, 0.013392857275903225], [0.10211267322301865, 0.75, 0.4241071343421936]]"
237,"[[0.26517754793167114, 0.7563769221305847, 0.415904700756073], [0.16847407817840576, 0.13211281597614288, 0.3879261314868927]]","[[0.2992957830429077, 0.75, 0.2678571343421936], [0.2887323796749115, 0.0, 0.4598214328289032]]"
238,"[[0.3301590085029602, 1.0414141416549683, 0.4098232686519623], [0.24898524582386017, 0.5634903907775879, 0.41894346475601196]]","[[0.48239436745643616, 1.0, 0.28125], [0.5387324094772339, 0.5, 0.3973214328289032]]"
239,"[[0.2645058035850525, 0.7567050457000732, 0.4154679775238037], [0.2997875511646271, 0.8162165880203247, 0.4215841293334961]]","[[0.2852112650871277, 0.75, 0.5], [0.6267605423927307, 0.75, 0.4866071343421936]]"
240,"[[0.24239295721054077, 0.7142485976219177, 0.4111814498901367], [0.2739483416080475, 0.7718735933303833, 0.41645753383636475]]","[[0.05985915660858154, 0.75, 0.3928571343421936], [0.3732394278049469, 0.75, 0.2589285671710968]]"
241,"[[0.34290534257888794, 1.0604115724563599, 0.4112241268157959], [0.2846057116985321, 0.7838478088378906, 0.4204358458518982]]","[[0.6056337952613831, 1.0, 0.1830357164144516], [0.47887325286865234, 0.75, 0.6875]]"
242,"[[0.285725861787796, 0.7941118478775024, 0.41843181848526], [0.2945481240749359, 0.983950674533844, 0.4060215353965759]]","[[0.49295774102211, 0.75, 0.2857142984867096], [0.18309858441352844, 1.0, 0.3928571343421936]]"
243,"[[0.2821594774723053, 0.7850837707519531, 0.41811150312423706], [0.18329492211341858, 0.14893847703933716, 0.3939934968948364]]","[[0.4612676203250885, 0.75, 0.2767857015132904], [0.39788731932640076, 0.0, 0.2455357164144516]]"
244,"[[0.26718512177467346, 0.7584660053253174, 0.41691869497299194], [0.25298768281936646, 0.7402482628822327, 0.4133787155151367]]","[[0.30985915660858154, 0.75, 0.5848214030265808], [0.18309858441352844, 0.75, 0.3839285671710968]]"
245,"[[0.164967343211174, 0.11360055953264236, 0.3860916793346405], [0.3385702669620514, 0.8596740961074829, 0.4285728931427002]]","[[0.06338027864694595, 0.0, 0.4285714328289032], [0.9154929518699646, 0.75, 0.3303571343421936]]"
246,"[[0.2889443635940552, 0.783943235874176, 0.4210197329521179], [0.2760792672634125, 0.9534420967102051, 0.4043079614639282]]","[[0.49295774102211, 0.75, 0.4732142984867096], [0.05281690135598183, 1.0, 0.4107142984867096]]"
247,"[[0.2896524667739868, 0.7869938611984253, 0.42161911725997925], [0.30170339345932007, 0.8138313293457031, 0.4218131899833679]]","[[0.5, 0.75, 0.4107142984867096], [0.6126760840415955, 0.75, 0.013392857275903225]]"
248,"[[0.24840795993804932, 0.7299664616584778, 0.4125215709209442], [0.2706366777420044, 0.7577710747718811, 0.4174131155014038]]","[[0.13028168678283691, 0.75, 0.4642857015132904], [0.32042253017425537, 0.75, 0.5803571343421936]]"
249,"[[0.25238364934921265, 0.7398192882537842, 0.4126034080982208], [0.2776942849159241, 0.9652394652366638, 0.40241605043411255]]","[[0.1654929518699646, 0.75, 0.3571428656578064], [0.07746478915214539, 1.0, 0.3348214328289032]]"
250,"[[0.33126670122146606, 1.0346859693527222, 0.41074272990226746], [0.3034333288669586, 0.9995076656341553, 0.40741032361984253]]","[[0.48591548204421997, 1.0, 0.4821428656578064], [0.27816900610923767, 1.0, 0.5535714030265808]]"
251,"[[0.2952849864959717, 0.7700973153114319, 0.4246799647808075], [0.273034930229187, 0.9591448307037354, 0.4022040069103241]]","[[0.51408451795578, 0.75, 0.9375], [0.07042253762483597, 1.0, 0.4598214328289032]]"
252,"[[0.2513088583946228, 0.7395638823509216, 0.41272109746932983], [0.33039391040802, 0.8255594372749329, 0.42884549498558044]]","[[0.1654929518699646, 0.75, 0.3258928656578064], [0.7605633735656738, 0.75, 0.4910714328289032]]"
253,"[[0.2826583683490753, 0.9787388443946838, 0.40269750356674194], [0.29478171467781067, 0.5846058130264282, 0.43234094977378845]]","[[0.14436618983745575, 1.0, 0.3392857015132904], [0.7816901206970215, 0.5, 0.3035714328289032]]"
254,"[[0.3111023008823395, 0.8055330514907837, 0.4245891571044922], [0.28247734904289246, 0.7713150978088379, 0.4196794033050537]]","[[0.6197183132171631, 0.75, 0.3214285671710968], [0.40492957830429077, 0.75, 0.4508928656578064]]"
255,"[[0.2669420540332794, 0.7509356141090393, 0.4170083999633789], [0.27007925510406494, 0.7584408521652222, 0.4169875383377075]]","[[0.2852112650871277, 0.75, 0.5], [0.30985915660858154, 0.75, 0.3839285671710968]]"
256,"[[0.29848966002464294, 0.7790670990943909, 0.42370784282684326], [0.3448145389556885, 0.8214390277862549, 0.43300729990005493]]","[[0.5070422291755676, 0.75, 0.5089285969734192], [0.8098591566085815, 0.75, 0.5446428656578064]]"
257,"[[0.30371925234794617, 1.0039074420928955, 0.40626469254493713], [0.26164695620536804, 0.7508030533790588, 0.41574886441230774]]","[[0.2992957830429077, 1.0, 0.4732142984867096], [0.25704225897789, 0.75, 0.3616071343421936]]"
258,"[[0.25648343563079834, 0.7433822751045227, 0.41487807035446167], [0.2682406008243561, 0.9677308201789856, 0.40045714378356934]]","[[0.2077464759349823, 0.75, 0.4285714328289032], [0.07746478915214539, 1.0, 0.3616071343421936]]"
259,"[[0.2596142590045929, 0.9591575264930725, 0.3979646563529968], [0.27846401929855347, 0.9764670729637146, 0.4012375473976135]]","[[0.04929577559232712, 1.0, 0.3616071343421936], [0.1619718372821808, 1.0, 0.4732142984867096]]"
260,"[[0.3023674190044403, 1.0038679838180542, 0.40508759021759033], [0.3334377110004425, 1.0281556844711304, 0.4106220006942749]]","[[0.30633804202079773, 1.0, 0.3794642984867096], [0.47535210847854614, 1.0, 0.5580357313156128]]"
261,"[[0.27627262473106384, 0.5529448986053467, 0.42791131138801575], [0.25294145941734314, 0.7434254884719849, 0.4139052629470825]]","[[0.5352112650871277, 0.5, 0.21875], [0.19014084339141846, 0.75, 0.4017857015132904]]"
262,"[[0.3837306499481201, 1.0663105249404907, 0.41807860136032104], [0.2594226002693176, 0.9678369164466858, 0.3983183801174164]]","[[0.73591548204422, 1.0, 0.46875], [0.05281690135598183, 1.0, 0.3794642984867096]]"
263,"[[0.2827601432800293, 0.7688467502593994, 0.42047739028930664], [0.22942428290843964, 0.7243321537971497, 0.4093967378139496]]","[[0.3661971688270569, 0.75, 0.4285714328289032], [0.03873239457607269, 0.75, 0.4419642984867096]]"
264,"[[0.26172342896461487, 0.9718016386032104, 0.39921513199806213], [0.27117639780044556, 0.7495357394218445, 0.41958296298980713]]","[[0.07042253762483597, 1.0, 0.4017857015132904], [0.28169015049934387, 0.75, 0.5892857313156128]]"
265,"[[0.19508761167526245, 0.09178325533866882, 0.395452082157135], [0.37430089712142944, 1.0543029308319092, 0.41642165184020996]]","[[0.17605634033679962, 0.0, 0.40625], [0.6760563254356384, 1.0, 0.375]]"
266,"[[0.2977064251899719, 0.9986199736595154, 0.40466928482055664], [0.3017701506614685, 1.0017733573913574, 0.40524035692214966]]","[[0.27816900610923767, 1.0, 0.4910714328289032], [0.2992957830429077, 1.0, 0.4732142984867096]]"
267,"[[0.23713113367557526, 0.7312763929367065, 0.4108787178993225], [0.2581098675727844, 0.9732881188392639, 0.39739561080932617]]","[[0.10211267322301865, 0.75, 0.4241071343421936], [0.09507042169570923, 1.0, 0.3883928656578064]]"
268,"[[0.324278861284256, 1.0121309757232666, 0.4102417826652527], [0.2284998744726181, 0.7278341054916382, 0.4091044068336487]]","[[0.40492957830429077, 1.0, 0.6607142686843872], [0.05281690135598183, 0.75, 0.4017857015132904]]"
269,"[[0.1900113821029663, 0.0874234288930893, 0.3933631181716919], [0.2925153076648712, 0.99703049659729, 0.4040922522544861]]","[[0.06338027864694595, 0.0, 0.4285714328289032], [0.27464789152145386, 1.0, 0.2991071343421936]]"
270,"[[0.2933027744293213, 0.7739099264144897, 0.4230637550354004], [0.24391980469226837, 0.9727643132209778, 0.39513301849365234]]","[[0.40140846371650696, 0.75, 0.3482142984867096], [0.04577464610338211, 1.0, 0.34375]]"
271,"[[0.22606942057609558, 0.7317864298820496, 0.40881502628326416], [0.39434683322906494, 0.8340357542037964, 0.4425066113471985]]","[[0.05985915660858154, 0.75, 0.3660714328289032], [0.8697183132171631, 0.75, 0.125]]"
272,"[[0.29662778973579407, 0.9990769624710083, 0.40457868576049805], [0.24148990213871002, 0.9700459241867065, 0.3945770859718323]]","[[0.2992957830429077, 1.0, 0.4732142984867096], [0.05985915660858154, 1.0, 0.3705357015132904]]"
273,"[[0.29600220918655396, 1.0024971961975098, 0.4042496681213379], [0.28336793184280396, 0.9977584481239319, 0.4017130732536316]]","[[0.2992957830429077, 1.0, 0.4732142984867096], [0.2535211145877838, 1.0, 0.4107142984867096]]"
274,"[[0.3306718170642853, 0.757665753364563, 0.43422257900238037], [0.3308298587799072, 0.7801656126976013, 0.43134748935699463]]","[[0.5176056623458862, 0.75, 0.7321428656578064], [0.5387324094772339, 0.75, 0.3839285671710968]]"
275,"[[0.25878697633743286, 0.7407739162445068, 0.4175660014152527], [0.27185943722724915, 0.7626813650131226, 0.41827157139778137]]","[[0.22183097898960114, 0.75, 0.6116071343421936], [0.2957746386528015, 0.75, 0.2946428656578064]]"
276,"[[0.25763726234436035, 0.5159178972244263, 0.4236920475959778], [0.3845866024494171, 0.798011302947998, 0.44297972321510315]]","[[0.2887323796749115, 0.5, 0.3080357015132904], [0.7147887349128723, 0.75, 0.4285714328289032]]"
277,"[[0.2318902611732483, 0.9719984531402588, 0.39230799674987793], [0.26012393832206726, 0.7488346099853516, 0.4157458543777466]]","[[0.05281690135598183, 1.0, 0.5089285969734192], [0.23591549694538116, 0.75, 0.4017857015132904]]"
278,"[[0.24751414358615875, 0.7440024018287659, 0.4125635325908661], [0.228920117020607, 0.973868191242218, 0.39040160179138184]]","[[0.18309858441352844, 0.75, 0.3839285671710968], [0.05281690135598183, 1.0, 0.3571428656578064]]"
279,"[[0.3113018572330475, 0.1045432835817337, 0.4277028441429138], [0.33183756470680237, 0.7753407955169678, 0.43074846267700195]]","[[0.7288732528686523, 0.0, 0.3482142984867096], [0.5, 0.75, 0.4107142984867096]]"
280,"[[0.4522544741630554, 0.810788631439209, 0.4550214409828186], [0.29727110266685486, 0.7629923820495605, 0.4227061867713928]]","[[0.8873239159584045, 0.75, 0.4151785671710968], [0.3661971688270569, 0.75, 0.4285714328289032]]"
281,"[[0.4641343951225281, 1.0437679290771484, 0.4338187575340271], [0.29994428157806396, 0.7627587914466858, 0.4232898950576782]]","[[0.8063380122184753, 1.0, 0.5446428656578064], [0.3697183132171631, 0.75, 0.3883928656578064]]"
282,"[[0.4258488714694977, 0.7878744602203369, 0.45158934593200684], [0.2866823375225067, 0.9981733560562134, 0.40136831998825073]]","[[0.7605633735656738, 0.75, 0.4910714328289032], [0.27816900610923767, 1.0, 0.3973214328289032]]"
283,"[[0.3110720217227936, 0.7673286199569702, 0.42560115456581116], [0.29408785700798035, 0.9951293468475342, 0.40306374430656433]]","[[0.4119718372821808, 0.75, 0.2723214328289032], [0.2992957830429077, 1.0, 0.4732142984867096]]"
284,"[[0.21970266103744507, 0.982354462146759, 0.3892555236816406], [0.2422998994588852, 0.7446516156196594, 0.4126383364200592]]","[[0.07746478915214539, 1.0, 0.3348214328289032], [0.1690140813589096, 0.75, 0.4375]]"
285,"[[0.23070314526557922, 0.7455998659133911, 0.41035473346710205], [0.20646905899047852, 0.7399840950965881, 0.40533211827278137]]","[[0.13380281627178192, 0.75, 0.4017857015132904], [0.04929577559232712, 0.75, 0.3973214328289032]]"
286,"[[0.20985108613967896, 0.7412813901901245, 0.4061662554740906], [0.24794098734855652, 0.06524315476417542, 0.4042961001396179]]","[[0.0809859186410904, 0.75, 0.3839285671710968], [0.27112674713134766, 0.0, 0.4776785671710968]]"
287,"[[0.3028218746185303, 0.7607620358467102, 0.42458847165107727], [0.28069913387298584, 1.0000423192977905, 0.3998153805732727]]","[[0.35915493965148926, 0.75, 0.375], [0.27816900610923767, 1.0, 0.2678571343421936]]"
288,"[[0.48633790016174316, 1.03739595413208, 0.43666529655456543], [0.20829890668392181, 0.4975601136684418, 0.4112890362739563]]","[[0.7781690359115601, 1.0, 0.4285714328289032], [0.07394365966320038, 0.5, 0.3705357015132904]]"
289,"[[0.40603289008140564, 0.5456216931343079, 0.45375359058380127], [0.4057736098766327, 1.0185660123825073, 0.4222496747970581]]","[[0.6971830725669861, 0.5, 0.1830357164144516], [0.5704225301742554, 1.0, 0.5044642686843872]]"
290,"[[0.33600467443466187, 0.7533794641494751, 0.43117034435272217], [0.2529642581939697, 0.9927127361297607, 0.3949809670448303]]","[[0.4225352108478546, 0.75, 0.5535714030265808], [0.2112676054239273, 1.0, 0.4598214328289032]]"
291,"[[0.37373653054237366, 1.0119655132293701, 0.4174222946166992], [0.281840980052948, 0.7579670548439026, 0.4203784465789795]]","[[0.47535210847854614, 1.0, 0.5580357313156128], [0.2887323796749115, 0.75, 0.4285714328289032]]"
292,"[[0.2331634908914566, 0.9918700456619263, 0.3939597010612488], [0.529804527759552, 1.0234953165054321, 0.4472649097442627]]","[[0.1654929518699646, 1.0, 0.4017857015132904], [0.7992957830429077, 1.0, 0.5580357313156128]]"
293,"[[0.33196789026260376, 0.7693922519683838, 0.42880159616470337], [0.2167956829071045, 0.9888431429862976, 0.3904609680175781]]","[[0.4119718372821808, 0.75, 0.2723214328289032], [0.13028168678283691, 1.0, 0.4107142984867096]]"
294,"[[0.5306398868560791, 0.759655237197876, 0.46962353587150574], [0.20593425631523132, 0.7445131540298462, 0.4063021242618561]]","[[0.8063380122184753, 0.75, 0.6785714030265808], [0.10211267322301865, 0.75, 0.4241071343421936]]"
295,"[[0.3170141279697418, 0.7590420246124268, 0.4266740679740906], [0.30483007431030273, 0.7635598182678223, 0.42373454570770264]]","[[0.3697183132171631, 0.75, 0.3883928656578064], [0.35211268067359924, 0.75, 0.2857142984867096]]"
296,"[[0.2778826057910919, 0.7485215067863464, 0.4204219579696655], [0.40747007727622986, 1.0031105279922485, 0.4235857129096985]]","[[0.27112674713134766, 0.75, 0.4464285671710968], [0.5246478915214539, 1.0, 0.4910714328289032]]"
297,"[[0.2733509838581085, 0.753477931022644, 0.4190526306629181], [0.40657731890678406, 0.5101167559623718, 0.4515628218650818]]","[[0.26408451795578003, 0.75, 0.3973214328289032], [0.5739436745643616, 0.5, 0.4151785671710968]]"
298,"[[0.3972802758216858, 0.5132388472557068, 0.44832736253738403], [0.1771082878112793, 0.7422295808792114, 0.4018446207046509]]","[[0.5387324094772339, 0.5, 0.3973214328289032], [0.05281690135598183, 0.75, 0.4107142984867096]]"
299,"[[0.367719829082489, 0.0961671769618988, 0.4266066551208496], [0.29827600717544556, 0.757918119430542, 0.421854704618454]]","[[0.6056337952613831, 0.0, 0.1785714328289032], [0.31690141558647156, 0.75, 0.3839285671710968]]"
300,"[[0.2669982612133026, 1.0003788471221924, 0.39699894189834595], [0.2542171776294708, 0.9946959614753723, 0.39632391929626465]]","[[0.26760563254356384, 1.0, 0.2366071492433548], [0.23591549694538116, 1.0, 0.4285714328289032]]"
301,"[[0.17541585862636566, 0.7488266825675964, 0.40228497982025146], [0.15933658182621002, 0.9839065074920654, 0.3841608166694641]]","[[0.05985915660858154, 0.75, 0.4241071343421936], [0.05281690135598183, 1.0, 0.5089285969734192]]"
302,"[[0.14992459118366241, 0.9842369556427002, 0.38155466318130493], [0.19477418065071106, 0.7560443878173828, 0.40393272042274475]]","[[0.05281690135598183, 1.0, 0.3794642984867096], [0.11971831321716309, 0.75, 0.2633928656578064]]"
303,"[[0.37027740478515625, 0.9975781440734863, 0.41521525382995605], [0.5764420032501221, 1.006750464439392, 0.4468173384666443]]","[[0.4225352108478546, 1.0, 0.5491071343421936], [0.7429577708244324, 1.0, 0.5]]"
304,"[[0.44313228130340576, 1.0045353174209595, 0.4247882068157196], [0.17383301258087158, 0.7481737732887268, 0.4027007222175598]]","[[0.5457746386528015, 1.0, 0.3794642984867096], [0.07394365966320038, 0.75, 0.4419642984867096]]"
305,"[[0.26014482975006104, 0.7541466355323792, 0.4159010052680969], [0.5009971261024475, 0.7620134949684143, 0.4538998007774353]]","[[0.24295774102210999, 0.75, 0.4107142984867096], [0.6373239159584045, 0.75, 0.4464285671710968]]"
306,"[[0.20866304636001587, 0.9905490875244141, 0.39184147119522095], [0.41896852850914, 0.9936271905899048, 0.4221082925796509]]","[[0.1654929518699646, 1.0, 0.4017857015132904], [0.47535210847854614, 1.0, 0.5580357313156128]]"
307,"[[0.4256995916366577, 0.753577470779419, 0.4408738315105438], [0.15801474452018738, 0.9855306148529053, 0.38561564683914185]]","[[0.48943662643432617, 0.75, 0.5267857313156128], [0.07746478915214539, 1.0, 0.4821428656578064]]"
308,"[[0.6015762686729431, 0.5166402459144592, 0.47535496950149536], [0.22621527314186096, 0.06889951229095459, 0.39084720611572266]]","[[0.8204225301742554, 0.5, 0.4375], [0.10211267322301865, 0.0, 0.3973214328289032]]"
309,"[[0.4310831129550934, 0.7610498070716858, 0.43949058651924133], [0.4007328152656555, 0.7541286945343018, 0.4357856214046478]]","[[0.5070422291755676, 0.75, 0.4107142984867096], [0.4507042169570923, 0.75, 0.5089285969734192]]"
310,"[[0.5632792115211487, 1.0046861171722412, 0.4384390711784363], [0.1535615473985672, 0.7560680508613586, 0.40123891830444336]]","[[0.6795774698257446, 1.0, 0.375], [0.05985915660858154, 0.75, 0.4241071343421936]]"
311,"[[0.14019936323165894, 0.986723780632019, 0.38537511229515076], [0.28235700726509094, 0.5066671967506409, 0.42318087816238403]]","[[0.07394365966320038, 1.0, 0.3973214328289032], [0.26408451795578003, 0.5, 0.3839285671710968]]"
312,"[[0.3727935552597046, 0.9984930753707886, 0.41219669580459595], [0.2770461440086365, 0.767117977142334, 0.4166140556335449]]","[[0.4154929518699646, 1.0, 0.3705357015132904], [0.27464789152145386, 0.75, 0.2723214328289032]]"
313,"[[0.41015195846557617, 0.7507808208465576, 0.43516308069229126], [0.43842920660972595, 0.758405327796936, 0.4381166100502014]]","[[0.4507042169570923, 0.75, 0.5133928656578064], [0.5, 0.75, 0.4107142984867096]]"
314,"[[0.37590280175209045, 0.7583003044128418, 0.4295993149280548], [0.29002809524536133, 0.4856726825237274, 0.42367830872535706]]","[[0.4154929518699646, 0.75, 0.3883928656578064], [0.26056337356567383, 0.5, 0.6071428656578064]]"
315,"[[0.20701368153095245, 0.9924799799919128, 0.39342179894447327], [0.5880098342895508, 0.7637073397636414, 0.45627814531326294]]","[[0.18309858441352844, 1.0, 0.4107142984867096], [0.6866196990013123, 0.75, 0.40625]]"
316,"[[0.7727794051170349, 0.9900456666946411, 0.4589424133300781], [0.22716249525547028, 0.05100494995713234, 0.3880400061607361]]","[[0.8908450603485107, 1.0, 0.4330357015132904], [0.11619718372821808, 0.0, 0.4732142984867096]]"
317,"[[0.17394468188285828, 0.5197417736053467, 0.40746009349823], [0.44721657037734985, 0.7615175247192383, 0.437127947807312]]","[[0.07746478915214539, 0.5, 0.3258928656578064], [0.5, 0.75, 0.4107142984867096]]"
318,"[[0.258610337972641, 0.7571448087692261, 0.41558173298835754], [0.47549137473106384, 0.9940239787101746, 0.42295050621032715]]","[[0.24295774102210999, 0.75, 0.40625], [0.51408451795578, 1.0, 0.4196428656578064]]"
319,"[[0.2411271035671234, 0.7608789801597595, 0.41301146149635315], [0.1482871174812317, 0.756409227848053, 0.40352267026901245]]","[[0.21830986440181732, 0.75, 0.3526785671710968], [0.07394365966320038, 0.75, 0.4151785671710968]]"
320,"[[0.14381688833236694, 0.7617835998535156, 0.40280312299728394], [0.48848438262939453, 0.5135829448699951, 0.44629335403442383]]","[[0.07394365966320038, 0.75, 0.4151785671710968], [0.5739436745643616, 0.5, 0.4151785671710968]]"
321,"[[0.2979435920715332, 0.7600588798522949, 0.4193423390388489], [0.15405362844467163, 0.7624545693397522, 0.4042311906814575]]","[[0.2992957830429077, 0.75, 0.3839285671710968], [0.09859155118465424, 0.75, 0.3303571343421936]]"
322,"[[0.2781257927417755, 0.7565030455589294, 0.4170856177806854], [0.26745960116386414, 0.050938576459884644, 0.3942739963531494]]","[[0.26408451795578003, 0.75, 0.4732142984867096], [0.22183097898960114, 0.0, 0.46875]]"
323,"[[0.21270428597927094, 0.49750465154647827, 0.4132259786128998], [0.37201258540153503, 0.024220820516347885, 0.4078102707862854]]","[[0.14788731932640076, 0.5, 0.5401785969734192], [0.4507042169570923, 0.0, 0.5982142686843872]]"
324,"[[0.29455259442329407, 0.7469318509101868, 0.41960176825523376], [0.28330153226852417, 0.7503923177719116, 0.4181666672229767]]","[[0.28169015049934387, 0.75, 0.5892857313156128], [0.26760563254356384, 0.75, 0.5535714030265808]]"
325,"[[0.5170989036560059, 0.7607405781745911, 0.43997007608413696], [0.16181907057762146, 0.520675539970398, 0.4073452949523926]]","[[0.5704225301742554, 0.75, 0.40625], [0.07746478915214539, 0.5, 0.3258928656578064]]"
326,"[[0.2834066152572632, 0.7669698596000671, 0.41682547330856323], [0.08879132568836212, 0.9882170557975769, 0.3875167667865753]]","[[0.27816900610923767, 0.75, 0.3482142984867096], [0.0422535203397274, 1.0, 0.3794642984867096]]"
327,"[[0.26819154620170593, 0.7495384216308594, 0.41656142473220825], [0.19567085802555084, 0.9911435842514038, 0.3948900103569031]]","[[0.246478870511055, 0.75, 0.5758928656578064], [0.18309858441352844, 1.0, 0.4107142984867096]]"
328,"[[0.4922533333301544, 0.9900119304656982, 0.418791800737381], [0.3973424434661865, 0.7675857543945312, 0.4260765314102173]]","[[0.51408451795578, 1.0, 0.4196428656578064], [0.4225352108478546, 0.75, 0.3258928656578064]]"
329,"[[0.6551944613456726, 0.5355073809623718, 0.45759186148643494], [0.12112119048833847, 0.9873895645141602, 0.3898508548736572]]","[[0.7816901206970215, 0.5, 0.3035714328289032], [0.09154929220676422, 1.0, 0.3660714328289032]]"
330,"[[0.12368747591972351, 0.7640969157218933, 0.40326637029647827], [0.11365865170955658, 0.988480806350708, 0.38953471183776855]]","[[0.06338027864694595, 0.75, 0.3794642984867096], [0.0809859186410904, 1.0, 0.3303571343421936]]"
331,"[[0.3343948423862457, 0.5160630941390991, 0.42432695627212524], [0.42715463042259216, 0.7736830115318298, 0.42711931467056274]]","[[0.35211268067359924, 0.5, 0.3214285671710968], [0.4647887349128723, 0.75, 0.2544642984867096]]"
332,"[[0.4021100401878357, 0.11264264583587646, 0.414666086435318], [0.4957335591316223, 0.9587264657020569, 0.4228598475456238]]","[[0.5457746386528015, 0.0, 0.0], [0.48591548204421997, 1.0, 0.9151785969734192]]"
333,"[[0.1796220988035202, 0.7588152885437012, 0.4082415699958801], [0.6698542833328247, 0.7831594347953796, 0.4462866485118866]]","[[0.14436618983745575, 0.75, 0.4151785671710968], [0.75, 0.75, 0.1651785671710968]]"
334,"[[0.8482110500335693, 0.7610155344009399, 0.4652702510356903], [0.28513461351394653, 0.7666112184524536, 0.41608864068984985]]","[[0.9154929518699646, 0.75, 0.5178571343421936], [0.27816900610923767, 0.75, 0.3482142984867096]]"
335,"[[0.11116936802864075, 0.9887561202049255, 0.3916243314743042], [0.14825491607189178, 0.7655135989189148, 0.4066060781478882]]","[[0.07746478915214539, 1.0, 0.40625], [0.10563380271196365, 0.75, 0.4151785671710968]]"
336,"[[0.6200379729270935, 0.7719600796699524, 0.4425745904445648], [0.4612273871898651, 0.764805257320404, 0.4302451014518738]]","[[0.672535240650177, 0.75, 0.34375], [0.48591548204421997, 0.75, 0.4241071343421936]]"
337,"[[0.19477306306362152, 0.7683229446411133, 0.4094918966293335], [0.4895121157169342, 0.7685548067092896, 0.43108513951301575]]","[[0.1654929518699646, 0.75, 0.3571428656578064], [0.5176056623458862, 0.75, 0.3883928656578064]]"
338,"[[0.23927240073680878, 0.9916545152664185, 0.3973240852355957], [0.0923798605799675, 0.9830383062362671, 0.3908306658267975]]","[[0.23591549694538116, 1.0, 0.3482142984867096], [0.05281690135598183, 1.0, 0.4642857015132904]]"
339,"[[0.4825739562511444, 0.7552804350852966, 0.4313434958457947], [0.5292196869850159, 0.9759747385978699, 0.4197251796722412]]","[[0.5070422291755676, 0.75, 0.5089285969734192], [0.5316901206970215, 1.0, 0.6607142686843872]]"
340,"[[0.1183997243642807, 0.9897257089614868, 0.392306387424469], [0.08422835171222687, 0.9875950813293457, 0.39112168550491333]]","[[0.09154929220676422, 1.0, 0.3258928656578064], [0.04929577559232712, 1.0, 0.3616071343421936]]"
341,"[[0.7220895886421204, 0.9869406819343567, 0.43077927827835083], [0.2001374065876007, 0.5120708346366882, 0.41382503509521484]]","[[0.73591548204422, 1.0, 0.46875], [0.15845070779323578, 0.5, 0.4107142984867096]]"
342,"[[0.32353129982948303, 0.5169450044631958, 0.4237821400165558], [0.1387484073638916, 0.7675313353538513, 0.40811294317245483]]","[[0.3380281627178192, 0.5, 0.3348214328289032], [0.09859155118465424, 0.75, 0.3526785671710968]]"
343,"[[0.9509001970291138, 0.9429317712783813, 0.4534769654273987], [0.13205385208129883, 0.9903931617736816, 0.39437979459762573]]","[[0.9260563254356384, 1.0, 1.0], [0.10915493220090866, 1.0, 0.3705357015132904]]"
344,"[[0.7434684634208679, 0.9833460450172424, 0.4316680133342743], [0.14542394876480103, 0.7702190279960632, 0.40848463773727417]]","[[0.7464788556098938, 1.0, 0.5044642686843872], [0.10211267322301865, 0.75, 0.3705357015132904]]"
345,"[[0.6183125972747803, 0.7673121094703674, 0.43834471702575684], [0.11813773214817047, 0.7703863978385925, 0.40647393465042114]]","[[0.6514084339141846, 0.75, 0.4107142984867096], [0.06690140813589096, 0.75, 0.34375]]"
346,"[[0.19949650764465332, 0.5111005306243896, 0.41381436586380005], [0.33237171173095703, 0.980233907699585, 0.40480655431747437]]","[[0.15845070779323578, 0.5, 0.4107142984867096], [0.3309859037399292, 1.0, 0.5669642686843872]]"
347,"[[0.2721579074859619, 0.9953662753105164, 0.4001624286174774], [0.23132985830307007, 0.04219185560941696, 0.3934401869773865]]","[[0.27464789152145386, 1.0, 0.2991071343421936], [0.17605634033679962, 0.0, 0.40625]]"
348,"[[0.6801908612251282, 0.5420222878456116, 0.4497320055961609], [0.31189650297164917, 0.7583538293838501, 0.4179549813270569]]","[[0.7816901206970215, 0.5, 0.3035714328289032], [0.31690141558647156, 0.75, 0.4642857015132904]]"
349,"[[0.10166231542825699, 0.7695655822753906, 0.4055807590484619], [0.7727266550064087, 0.7609550356864929, 0.448585569858551]]","[[0.056338027119636536, 0.75, 0.3839285671710968], [0.8098591566085815, 0.75, 0.5446428656578064]]"
350,"[[0.37565159797668457, 0.7510343194007874, 0.4227175712585449], [0.21499603986740112, 0.7706197500228882, 0.4118790030479431]]","[[0.38732394576072693, 0.75, 0.5491071343421936], [0.2042253464460373, 0.75, 0.3571428656578064]]"
351,"[[0.17385078966617584, 0.05379878357052803, 0.3893318474292755], [0.12186330556869507, 0.7620144486427307, 0.4071139097213745]]","[[0.05281690135598183, 0.0, 0.3928571343421936], [0.0809859186410904, 0.75, 0.4642857015132904]]"
352,"[[0.19303280115127563, 0.0710446760058403, 0.3929286599159241], [0.4727976620197296, 0.757351815700531, 0.4276418089866638]]","[[0.09859155118465424, 0.0, 0.3035714328289032], [0.48943662643432617, 0.75, 0.5267857313156128]]"
353,"[[0.10396544635295868, 0.7638915777206421, 0.4072567820549011], [0.1801406741142273, 0.05025746673345566, 0.3907700777053833]]","[[0.05985915660858154, 0.75, 0.4196428656578064], [0.06338027864694595, 0.0, 0.4285714328289032]]"
